pdate,hour,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total,totalimei,totalimsi
2016-05-01,0,88,88,88,88,88,88,489,430,430
2016-05-01,0,89,89,89,89,89,89,975,862,862
2016-05-01,0,90,90,90,90,90,90,1478,1367,1367
2016-05-01,0,91,91,91,91,91,91,617,553,553
2016-05-01,0,92,92,92,92,92,92,112,96,96
2016-05-01,2,88,88,88,88,88,88,9,9,9
2016-05-01,2,89,89,89,89,89,89,14,14,14
2016-05-01,2,90,90,90,90,90,90,26,26,26
2016-05-01,2,91,91,91,91,91,91,7,7,7
2016-05-01,2,92,92,92,92,92,92,3,3,3
2016-05-01,3,88,88,88,88,88,88,146,132,132
2016-05-01,3,89,89,89,89,89,89,238,224,224
2016-05-01,3,90,90,90,90,90,90,381,352,352
2016-05-01,3,91,91,91,91,91,91,142,127,127
2016-05-01,3,92,92,92,92,92,92,13,12,12
2016-05-01,7,88,88,88,88,88,88,3,3,3
2016-05-01,7,89,89,89,89,89,89,2,2,2
2016-05-01,7,90,90,90,90,90,90,3,3,3
2016-05-01,7,91,91,91,91,91,91,2,2,2
2016-05-01,8,88,88,88,88,88,88,2327,2116,2116
2016-05-01,8,89,89,89,89,89,89,3865,3633,3633
2016-05-01,8,90,90,90,90,90,90,4231,4002,4002
2016-05-01,8,91,91,91,91,91,91,1408,1315,1315
2016-05-01,8,92,92,92,92,92,92,244,213,213
2016-05-01,9,88,88,88,88,88,88,1111,1053,1053
2016-05-01,9,89,89,89,89,89,89,2162,2098,2098
2016-05-01,9,90,90,90,90,90,90,3047,2945,2945
2016-05-01,9,91,91,91,91,91,91,1011,977,977
2016-05-01,9,92,92,92,92,92,92,150,139,139
2016-05-01,10,26,26,26,26,26,26,1,1,1
2016-05-01,10,88,88,88,88,88,88,1612,1498,1498
2016-05-01,10,89,89,89,89,89,89,3031,2946,2946
2016-05-01,10,90,90,90,90,90,90,4338,4203,4203
2016-05-01,10,91,91,91,91,91,91,1555,1509,1509
