pdate,admin1,admin1_code,admin2,admin2_code,n_admin1,n_admin1_code,n_admin2,n_admin2_code,totalimei,totalod,totalfo,totalcount
2016-05-01,88,88,88,88,89,89,89,89,4,4,0,4
2016-05-01,89,89,89,89,88,88,88,88,3,3,0,3
2016-05-01,89,89,89,89,89,89,89,89,1,1,0,1
2016-05-01,89,89,89,89,90,90,90,90,3,3,0,3
2016-05-01,90,90,90,90,89,89,89,89,1,1,0,1
2016-05-01,90,90,90,90,90,90,90,90,3,5,0,5
2016-05-01,90,90,90,90,91,91,91,91,6,8,0,8
2016-05-01,91,91,91,91,90,90,90,90,6,8,0,8
2016-05-01,91,91,91,91,91,91,91,91,3,5,0,5
2016-05-01,91,91,91,91,92,92,92,92,2,2,0,2
2016-05-01,92,92,92,92,91,91,91,91,2,2,0,2
2016-05-02,88,88,88,88,88,88,88,88,113,0,113,113
2016-05-02,88,88,88,88,89,89,89,89,5,0,5,5
2016-05-02,89,89,89,89,88,88,88,88,8,2,6,8
2016-05-02,89,89,89,89,89,89,89,89,201,0,201,201
2016-05-02,89,89,89,89,90,90,90,90,8,1,7,8
2016-05-02,90,90,90,90,89,89,89,89,14,8,6,14
2016-05-02,90,90,90,90,90,90,90,90,278,0,278,278
2016-05-02,90,90,90,90,91,91,91,91,5,3,2,5
2016-05-02,91,91,91,91,88,88,88,88,1,0,1,1
2016-05-02,91,91,91,91,90,90,90,90,4,2,2,4
2016-05-02,91,91,91,91,91,91,91,91,90,0,90,90
2016-05-02,91,91,91,91,92,92,92,92,3,2,1,3
2016-05-02,92,92,92,92,91,91,91,91,1,1,0,1
2016-05-02,92,92,92,92,92,92,92,92,11,0,11,11
2016-05-03,88,88,88,88,88,88,88,88,187,0,187,187
2016-05-03,88,88,88,88,89,89,89,89,8,3,5,8
2016-05-03,88,88,88,88,90,90,90,90,2,0,2,2
2016-05-03,88,88,88,88,91,91,91,91,1,0,1,1
2016-05-03,89,89,89,89,88,88,88,88,14,6,8,14
2016-05-03,89,89,89,89,89,89,89,89,330,0,330,330
2016-05-03,89,89,89,89,90,90,90,90,10,0,10,10
2016-05-03,90,90,90,90,88,88,88,88,3,0,3,3
2016-05-03,90,90,90,90,89,89,89,89,17,4,13,17
2016-05-03,90,90,90,90,90,90,90,90,472,0,472,472
2016-05-03,90,90,90,90,91,91,91,91,8,4,4,8
2016-05-03,91,91,91,91,89,89,89,89,1,1,0,1
2016-05-03,91,91,91,91,90,90,90,90,5,2,3,5
2016-05-03,91,91,91,91,91,91,91,91,203,0,203,203
