yearr,weekk,first_week_date,admin1,admin1_code,admin2,admin2_code,total
2016,17,2016-04-18,23,23,23,23,5
2016,17,2016-04-18,26,26,26,26,2
2016,17,2016-04-18,88,88,88,88,14360
2016,17,2016-04-18,89,89,89,89,26909
2016,17,2016-04-18,90,90,90,90,37716
2016,17,2016-04-18,91,91,91,91,13687
2016,17,2016-04-18,92,92,92,92,2030
2016,18,2016-04-25,23,23,23,23,9
2016,18,2016-04-25,26,26,26,26,6
2016,18,2016-04-25,88,88,88,88,101520
2016,18,2016-04-25,89,89,89,89,188315
2016,18,2016-04-25,90,90,90,90,255493
2016,18,2016-04-25,91,91,91,91,98677
2016,18,2016-04-25,92,92,92,92,15477
2016,19,2016-05-02,26,26,26,26,2
2016,19,2016-05-02,88,88,88,88,29068
2016,19,2016-05-02,89,89,89,89,54921
2016,19,2016-05-02,90,90,90,90,78031
2016,19,2016-05-02,91,91,91,91,29007
2016,19,2016-05-02,92,92,92,92,4685
