pdate,h_admin1,h_admin1_code,h_admin2,h_admin2_code,h_admin3,h_admin3_code,total_uid,max_dist,min_dist,median_dist,avg_dist,stddev,percentile_1,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99
2016-05-01,23,23,23,23,23,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,88,88,88,88,88,88,1098,311.67,0.0,0.0,1.29,14.92,0.0,0.0,0.0,0.0,0.0,0.76,4.61,10.36
2016-05-01,89,89,89,89,89,89,1230,155.13,0.0,0.0,1.44,9.78,0.0,0.0,0.0,0.0,0.0,3.43,5.2,17.81
2016-05-01,90,90,90,90,90,90,1632,332.63,0.0,0.0,2.84,21.75,0.0,0.0,0.0,0.0,0.0,1.75,4.77,56.95
2016-05-01,91,91,91,91,91,91,705,865.12,0.0,0.0,4.31,38.93,0.0,0.0,0.0,0.0,0.0,2.74,5.95,110.88
2016-05-01,92,92,92,92,92,92,197,23.86,0.0,0.0,0.45,2.06,0.0,0.0,0.0,0.0,0.0,0.07,3.02,6.4
2016-05-02,23,23,23,23,23,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,88,88,88,88,88,88,1043,311.67,0.0,0.0,1.63,19.32,0.0,0.0,0.0,0.0,0.0,0.03,4.27,12.97
2016-05-02,89,89,89,89,89,89,942,155.13,0.0,0.0,1.41,9.98,0.0,0.0,0.0,0.0,0.0,2.43,5.15,16.11
2016-05-02,90,90,90,90,90,90,1122,311.67,0.0,0.0,3.15,21.71,0.0,0.0,0.0,0.0,0.0,3.28,6.11,89.89
2016-05-02,91,91,91,91,91,91,569,221.75,0.0,0.0,2.66,17.98,0.0,0.0,0.0,0.0,0.0,3.22,6.21,66.05
2016-05-02,92,92,92,92,92,92,177,27.06,0.0,0.0,0.54,2.67,0.0,0.0,0.0,0.0,0.0,0.07,2.78,11.73
2016-05-03,23,23,23,23,23,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,88,88,88,88,88,88,969,311.67,0.0,0.0,1.01,10.9,0.0,0.0,0.0,0.0,0.0,0.49,4.39,11.48
2016-05-03,89,89,89,89,89,89,832,364.72,0.0,0.0,1.7,14.7,0.0,0.0,0.0,0.0,0.0,3.73,6.13,16.81
2016-05-03,90,90,90,90,90,90,1154,311.67,0.0,0.0,2.62,17.0,0.0,0.0,0.0,0.0,0.0,2.07,5.61,83.68
2016-05-03,91,91,91,91,91,91,542,270.21,0.0,0.0,2.77,18.54,0.0,0.0,0.0,0.0,0.0,3.36,6.53,53.78
2016-05-03,92,92,92,92,92,92,180,10.26,0.0,0.0,0.24,1.1,0.0,0.0,0.0,0.0,0.0,0.07,1.27,5.33
2016-05-04,23,23,23,23,23,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-04,88,88,88,88,88,88,1041,1063.15,0.0,0.0,2.44,38.36,0.0,0.0,0.0,0.0,0.0,0.86,5.46,14.17
2016-05-04,89,89,89,89,89,89,955,370.17,0.0,0.0,2.16,16.38,0.0,0.0,0.0,0.0,0.0,3.33,6.34,27.96
2016-05-04,90,90,90,90,90,90,1320,311.67,0.0,0.0,3.68,22.77,0.0,0.0,0.0,0.0,0.02,2.54,6.32,118.29
2016-05-04,91,91,91,91,91,91,646,418.29,0.0,0.0,3.58,27.26,0.0,0.0,0.0,0.0,0.0,2.52,4.57,145.06
2016-05-04,92,92,92,92,92,92,175,32.92,0.0,0.0,0.76,3.22,0.0,0.0,0.0,0.0,0.0,1.4,4.28,11.58
2016-05-05,23,23,23,23,23,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,88,88,88,88,88,88,952,311.67,0.0,0.0,1.29,12.67,0.0,0.0,0.0,0.0,0.0,2.54,4.93,11.34
2016-05-05,89,89,89,89,89,89,1033,368.27,0.0,0.0,2.95,20.83,0.0,0.0,0.0,0.0,0.0,4.53,6.31,79.38
