yearr,weekk,first_day_of_week,h_admin1,h_admin1_code,h_admin2,h_admin2_code,total_uid,max_dist,min_dist,median_dist,avg_dist,stddev,percentile_1,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99
2016,17,2016-05-01,23,23,23,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,17,2016-05-01,88,88,88,88,1098,311.67,0.0,0.0,1.29,14.92,0.0,0.0,0.0,0.0,0.0,0.76,4.61,10.36
2016,17,2016-05-01,89,89,89,89,1230,155.13,0.0,0.0,1.44,9.78,0.0,0.0,0.0,0.0,0.0,3.43,5.2,17.81
2016,17,2016-05-01,90,90,90,90,1632,332.63,0.0,0.0,2.84,21.75,0.0,0.0,0.0,0.0,0.0,1.75,4.77,56.95
2016,17,2016-05-01,91,91,91,91,705,865.12,0.0,0.0,4.31,38.93,0.0,0.0,0.0,0.0,0.0,2.74,5.95,110.88
2016,17,2016-05-01,92,92,92,92,197,23.86,0.0,0.0,0.45,2.06,0.0,0.0,0.0,0.0,0.0,0.07,3.02,6.4
2016,18,2016-05-02,23,23,23,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,18,2016-05-02,88,88,88,88,6668,1063.15,0.0,0.0,1.91,23.28,0.0,0.0,0.0,0.0,0.0,0.81,4.92,16.12
2016,18,2016-05-02,89,89,89,89,6091,7371.0,0.0,0.0,6.02,135.94,0.0,0.0,0.0,0.0,0.0,4.17,6.96,121.95
2016,18,2016-05-02,90,90,90,90,7508,623.35,0.0,0.0,4.45,27.79,0.0,0.0,0.0,0.0,0.01,3.39,7.65,155.13
2016,18,2016-05-02,91,91,91,91,3638,661.8,0.0,0.0,7.34,43.46,0.0,0.0,0.0,0.0,0.0,3.87,8.87,286.73
2016,18,2016-05-02,92,92,92,92,1067,1040.02,0.0,0.0,6.25,52.18,0.0,0.0,0.0,0.0,0.0,0.52,4.12,352.55
2016,19,2016-05-09,88,88,88,88,1277,397.96,0.0,0.0,5.93,40.9,0.0,0.0,0.0,0.0,0.0,0.5,6.33,315.93
2016,19,2016-05-09,89,89,89,89,817,665.01,0.0,0.0,21.03,74.6,0.0,0.0,0.0,0.0,0.72,13.5,234.41,333.98
2016,19,2016-05-09,90,90,90,90,848,957.04,0.0,0.0,21.86,76.37,0.0,0.0,0.0,0.0,1.13,31.86,195.47,321.62
2016,19,2016-05-09,91,91,91,91,414,585.87,0.0,0.0,65.0,124.19,0.0,0.0,0.0,0.0,11.18,307.06,331.67,372.24
2016,19,2016-05-09,92,92,92,92,84,405.33,0.0,0.0,70.88,140.21,0.0,0.0,0.0,0.0,5.87,356.33,370.91,403.31
