pdate,admin1,admin1_code,admin2,admin2_code,h_admin1,h_admin1_code,h_admin2,h_admin2_code,totalcount,mean_duration,stdev_duration
2016-05-01,23,23,23,23,23,23,23,23,5,0.0,0.0
2016-05-01,26,26,26,26,26,26,26,26,2,,
2016-05-01,88,88,88,88,88,88,88,88,14360,26.73,114.07
2016-05-01,88,88,88,88,90,90,90,90,4,0.0,0.0
2016-05-01,88,88,88,88,89,89,89,89,4,121.86,207.39
2016-05-01,89,89,89,89,88,88,88,88,3,51.7,71.35
2016-05-01,89,89,89,89,90,90,90,90,5,0.67,0.67
2016-05-01,89,89,89,89,89,89,89,89,26909,37.64,139.18
2016-05-01,90,90,90,90,88,88,88,88,2,0.0,0.0
2016-05-01,90,90,90,90,89,89,89,89,5,169.98,240.38
2016-05-01,90,90,90,90,91,91,91,91,11,167.04,298.62
2016-05-01,90,90,90,90,90,90,90,90,37716,45.5,155.53
2016-05-01,91,91,91,91,92,92,92,92,2,238.45,238.08
2016-05-01,91,91,91,91,90,90,90,90,6,114.7,161.04
2016-05-01,91,91,91,91,91,91,91,91,13687,47.35,151.08
2016-05-01,92,92,92,92,91,91,91,91,2,83.82,80.02
2016-05-01,92,92,92,92,92,92,92,92,2030,21.87,91.4
2016-05-02,23,23,23,23,23,23,23,23,1,0.0,0.0
2016-05-02,23,23,23,23,89,89,89,89,1,0.0,0.0
2016-05-02,88,88,88,88,91,91,91,91,3,,
2016-05-02,88,88,88,88,89,89,89,89,25,1.49,0.21
2016-05-02,88,88,88,88,88,88,88,88,14565,10.76,56.16
2016-05-02,88,88,88,88,90,90,90,90,15,0.14,0.25
2016-05-02,89,89,89,89,91,91,91,91,3,,
2016-05-02,89,89,89,89,88,88,88,88,26,247.92,244.89
2016-05-02,89,89,89,89,89,89,89,89,27323,23.82,78.28
2016-05-02,89,89,89,89,90,90,90,90,38,87.22,181.51
2016-05-02,90,90,90,90,91,91,91,91,26,27.9,66.02
2016-05-02,90,90,90,90,92,92,92,92,2,,
2016-05-02,90,90,90,90,88,88,88,88,19,0.69,0.39
2016-05-02,90,90,90,90,90,90,90,90,37484,30.93,86.9
2016-05-02,90,90,90,90,89,89,89,89,62,101.51,100.74
2016-05-02,91,91,91,91,91,91,91,91,14149,31.86,93.86
2016-05-02,91,91,91,91,92,92,92,92,11,74.62,103.14
2016-05-02,91,91,91,91,89,89,89,89,5,,
2016-05-02,91,91,91,91,90,90,90,90,23,165.18,232.14
2016-05-02,92,92,92,92,91,91,91,91,14,494.95,0.0
2016-05-02,92,92,92,92,92,92,92,92,2147,11.74,44.87
2016-05-03,23,23,23,23,23,23,23,23,2,0.0,0.0
2016-05-03,26,26,26,26,89,89,89,89,1,,
2016-05-03,26,26,26,26,26,26,26,26,1,,
2016-05-03,88,88,88,88,90,90,90,90,4,0.0,0.0
2016-05-03,88,88,88,88,89,89,89,89,25,0.81,0.75
2016-05-03,88,88,88,88,88,88,88,88,14070,7.78,43.2
2016-05-03,88,88,88,88,91,91,91,91,1,,
2016-05-03,89,89,89,89,88,88,88,88,19,113.99,126.23
2016-05-03,89,89,89,89,90,90,90,90,25,0.0,0.0
2016-05-03,89,89,89,89,89,89,89,89,27076,17.25,67.13
2016-05-03,89,89,89,89,91,91,91,91,2,,
2016-05-03,90,90,90,90,89,89,89,89,40,155.99,140.38
2016-05-03,90,90,90,90,90,90,90,90,37829,20.94,66.69
2016-05-03,90,90,90,90,88,88,88,88,8,,
2016-05-03,90,90,90,90,91,91,91,91,15,129.86,205.72
2016-05-03,90,90,90,90,92,92,92,92,2,,
2016-05-03,91,91,91,91,92,92,92,92,12,0.73,0.0
2016-05-03,91,91,91,91,88,88,88,88,3,,
2016-05-03,91,91,91,91,89,89,89,89,2,0.73,0.0
2016-05-03,91,91,91,91,90,90,90,90,29,36.5,56.47
2016-05-03,91,91,91,91,91,91,91,91,14690,17.83,62.0
2016-05-03,92,92,92,92,92,92,92,92,2219,7.09,48.47
2016-05-03,92,92,92,92,91,91,91,91,11,1.31,0.16
2016-05-03,92,92,92,92,90,90,90,90,1,0.0,0.0
2016-05-04,23,23,23,23,23,23,23,23,2,0.0,0.0
2016-05-04,26,26,26,26,26,26,26,26,1,,
2016-05-04,88,88,88,88,89,89,89,89,12,104.87,144.6
2016-05-04,88,88,88,88,88,88,88,88,14377,19.49,98.0
2016-05-04,88,88,88,88,90,90,90,90,8,0.0,0.0
2016-05-04,89,89,89,89,88,88,88,88,16,100.21,168.22
2016-05-04,89,89,89,89,91,91,91,91,1,1.23,0.0
2016-05-04,89,89,89,89,89,89,89,89,26808,33.19,127.93
2016-05-04,89,89,89,89,90,90,90,90,14,610.43,609.81
2016-05-04,90,90,90,90,91,91,91,91,12,0.0,0.0
2016-05-04,90,90,90,90,89,89,89,89,20,226.64,316.92
2016-05-04,90,90,90,90,88,88,88,88,5,0.72,0.72
2016-05-04,90,90,90,90,90,90,90,90,37490,30.82,109.03
2016-05-04,91,91,91,91,89,89,89,89,4,2.87,0.0
2016-05-04,91,91,91,91,91,91,91,91,14286,30.3,111.22
2016-05-04,91,91,91,91,92,92,92,92,6,133.02,183.11
2016-05-04,91,91,91,91,90,90,90,90,17,182.75,158.31
2016-05-04,91,91,91,91,88,88,88,88,1,0.45,0.0
2016-05-04,92,92,92,92,90,90,90,90,1,,
2016-05-04,92,92,92,92,91,91,91,91,7,1.38,0.0
2016-05-04,92,92,92,92,92,92,92,92,2246,4.88,22.12
2016-05-05,23,23,23,23,23,23,23,23,1,0.0,0.0
2016-05-05,26,26,26,26,26,26,26,26,1,,
2016-05-05,88,88,88,88,88,88,88,88,14108,24.42,111.28
2016-05-05,88,88,88,88,89,89,89,89,13,1.66,1.05
