pdate,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,n_admin1,n_admin1_code,n_admin2,n_admin2_code,n_admin3,n_admin3_code,total_count,total_duration_origin,avg_duration_origin,stddev_duration_origin,total_duration_destination,avg_duration_destination,stddev_duration_destination
2016-05-01,88,88,88,88,88,88,89,89,89,89,89,89,4,487.42,121.85,207.39,,,
2016-05-01,88,88,88,88,88,88,90,90,90,90,90,90,3,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,89,89,89,89,89,89,88,88,88,88,88,88,3,155.1,51.7,71.35,,,
2016-05-01,89,89,89,89,89,89,90,90,90,90,90,90,6,3.54,0.71,0.6,509.93,254.97,254.97
2016-05-01,90,90,90,90,90,90,88,88,88,88,88,88,3,0.0,0.0,0.0,,,
2016-05-01,90,90,90,90,90,90,89,89,89,89,89,89,5,509.93,169.98,240.38,0.0,0.0,0.0
2016-05-01,90,90,90,90,90,90,90,90,90,90,90,90,1,1.33,1.33,0.0,1.8,1.8,0.0
2016-05-01,90,90,90,90,90,90,91,91,91,91,91,91,14,1335.0,148.33,286.47,3.2,0.4,1.06
2016-05-01,91,91,91,91,91,91,90,90,90,90,90,90,9,685.57,85.7,148.23,1.33,0.44,0.63
2016-05-01,91,91,91,91,91,91,91,91,91,91,91,91,1,3.2,3.2,0.0,,,
2016-05-01,91,91,91,91,91,91,92,92,92,92,92,92,2,476.91,238.45,238.08,,,
2016-05-01,92,92,92,92,92,92,91,91,91,91,91,91,2,167.63,83.82,80.02,,,
2016-05-02,88,88,88,88,88,88,90,90,90,90,90,90,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,89,89,89,89,89,89,88,88,88,88,88,88,2,495.83,247.92,244.89,,,
2016-05-02,89,89,89,89,89,89,90,90,90,90,90,90,2,1.23,0.62,0.62,191.68,191.68,0.0
2016-05-02,90,90,90,90,90,90,88,88,88,88,88,88,3,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,90,90,90,90,90,90,89,89,89,89,89,89,11,812.05,81.21,98.83,1.47,0.74,0.74
2016-05-02,90,90,90,90,90,90,91,91,91,91,91,91,7,193.65,32.28,70.36,0.0,0.0,0.0
2016-05-02,91,91,91,91,91,91,90,90,90,90,90,90,4,494.09,123.52,213.59,,,
2016-05-02,91,91,91,91,91,91,92,92,92,92,92,92,2,222.6,111.3,109.18,,,
2016-05-02,92,92,92,92,92,92,91,91,91,91,91,91,1,494.95,494.95,0.0,,,
2016-05-03,88,88,88,88,88,88,89,89,89,89,89,89,3,3.67,1.22,0.69,,,
2016-05-03,88,88,88,88,88,88,90,90,90,90,90,90,2,0.0,0.0,0.0,,,
2016-05-03,89,89,89,89,89,89,88,88,88,88,88,88,6,683.93,113.99,126.23,,,
2016-05-03,89,89,89,89,89,89,90,90,90,90,90,90,3,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,90,90,90,90,90,90,89,89,89,89,89,89,4,779.96,194.99,130.49,,,
2016-05-03,90,90,90,90,90,90,91,91,91,91,91,91,10,775.71,110.82,196.08,0.0,0.0,0.0
2016-05-03,91,91,91,91,91,91,89,89,89,89,89,89,1,0.73,0.73,0.0,,,
2016-05-03,91,91,91,91,91,91,90,90,90,90,90,90,5,145.04,72.52,61.5,0.0,0.0,0.0
2016-05-03,91,91,91,91,91,91,92,92,92,92,92,92,1,0.73,0.73,0.0,,,
2016-05-03,92,92,92,92,92,92,91,91,91,91,91,91,1,1.15,1.15,0.0,,,
2016-05-04,88,88,88,88,88,88,89,89,89,89,89,89,3,314.62,104.87,144.6,1.72,1.72,0.0
2016-05-04,88,88,88,88,88,88,90,90,90,90,90,90,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-04,88,88,88,88,88,88,91,91,91,91,91,91,1,1.42,1.42,0.0,0.45,0.45,0.0
2016-05-04,89,89,89,89,89,89,88,88,88,88,88,88,3,399.29,133.1,182.77,,,
2016-05-04,89,89,89,89,89,89,90,90,90,90,90,90,4,1220.23,610.12,610.12,0.0,0.0,0.0
2016-05-04,89,89,89,89,89,89,91,91,91,91,91,91,1,1.23,1.23,0.0,,,
2016-05-04,90,90,90,90,90,90,88,88,88,88,88,88,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-04,90,90,90,90,90,90,89,89,89,89,89,89,2,674.83,674.83,0.0,0.0,0.0,0.0
2016-05-04,90,90,90,90,90,90,91,91,91,91,91,91,9,0.0,0.0,0.0,1.1,0.28,0.48
2016-05-04,91,91,91,91,91,91,88,88,88,88,88,88,1,0.45,0.45,0.0,,,
2016-05-04,91,91,91,91,91,91,89,89,89,89,89,89,1,2.87,2.87,0.0,,,
2016-05-04,91,91,91,91,91,91,90,90,90,90,90,90,9,913.74,182.75,158.31,0.0,0.0,0.0
2016-05-04,91,91,91,91,91,91,91,91,91,91,91,91,1,1.1,1.1,0.0,0.0,0.0,0.0
2016-05-04,91,91,91,91,91,91,92,92,92,92,92,92,2,394.6,197.3,194.68,8.63,8.63,0.0
